question,cluster
怎么给朋友科普女性主义呢？,213
请问2020年世界上发生哪些大事？,-1
你认为和人相处最重要的品质是什么,-1
请给我生成一个智能对话的专利申请书,294
我是一名中国人，我居住在黑龙江省毗邻俄罗斯边境的地方，今天我出去捕猎时遇到一头来自俄罗斯的黑熊攻击我，我严重受伤了，但仍然打死了它。请问我能不能找俄罗斯的政府赔偿？如果可以，我要采取什么措施？,-1
最近我身边一个女生总是让我女朋友非常生气，她说“哥哥，我们以后还是不要再联系了，不然姐姐该生气了”请帮我分析她是不是女朋友所说的“绿茶”,-1
我正在天安门前方站着，想要去人民大会堂，要如何走？,242
我在天安门广场，想要去人民大会堂，如何走？,242
帮我写一个小明不在家的小说,-1
请问北京为什么这么多雾霾天气？,-1
给我写一篇大模型的新闻稿,-1
抽出说话人的姓名,-1
"帮我把这段文字转换成鲁迅作品里的语气：昨天上午，算几个数学问题时越算越难受，有想要撕掉草稿纸的冲动思维也变得缓慢，见字忘意，感觉大脑里是一团浆糊，阻力很大。我怀疑自己抑郁又犯了，站起身离开了书桌。走出大门，开始跑步，运动，希望能借此缓解。我不想再吃药，我担心不吃药是否能恢复。稍微运动后，大吃了一顿，路上不停的对自己说，我可以。
回来后，感觉似乎确实好一些。",-1
现在你在北京的天安门，你想问一下怎么坐公交车到清华大学,242
最近我在计算机网络的学习过程中遇到了一些困难，上课一点也听不懂，我该怎么赶上学业呢？,-1
